As a Data user, I want to process deletions from 12-19-2017, so that outdated records are removed from the database.
As an agency user, I want to use schema v1.1 headers, so that file formats are consistent with the latest requirements.
As an agency user, I want to map FederalActionObligation to Atom Feed, so that data integrates with feed formats.
As a Broker user, I want PPoPZIP+4 to work like Legal Entity ZIP validation, so that address formats are consistently checked.
As a FABS user, I want the SAMPLE FILE link to point to the correct file, so that users can easily access examples.
As an Agency user, I want FPDS data updated daily, so that submissions reflect current contract information.
As a Developer, I want to determine how agencies generate and validate D Files, so that processes are standardized.
As a user, I want to generate and validate D Files, so that combined FABS and FPDS data is ready for submission.
As an Agency user, I want headers to show updated date and time, so that timestamps are precise for tracking.
As an Agency user, I want helpful errors for wrong file extensions, so that upload issues are clearly explained.
As a tester, I want to access test features in non-Staging environments, so that development and testing are supported.
As a FABS user, I want submission errors to represent FABS-specific issues accurately, so that troubleshooting is targeted.
As a FABS user, I want URLs to reflect the correct page for FABS, so that navigation is intuitive.
As an Agency user, I want to load all historical financial assistance data for FABS go-live, so that the system starts with complete history.
As a Developer, I want to load historical FPDS data since 2007, so that contract history is available for derivations.
As an Agency user, I want to see who created a submission, so that accountability is maintained.
As an agency user, I want to get File F in the correct format, so that validations pass without format errors.
As an Agency user, I want to better understand file-level errors, so that issues are explained with guidance.
As a Developer, I want to provide FABS groups under the FREC paradigm, so that organizational structures align with funding codes.
As a tester, I want to ensure FABS fields are derived properly using test files, so that logic is validated before deployment.
As an owner, I want only zero-padded fields enforced, so that data formatting is consistent.
As a Broker user, I want to submit individual recipients without DUNS errors, so that non-business recipients are accommodated.
As a user, I want info on how many rows will be published, so that I can review the scope before confirming.
As a Developer, I want to prevent duplicate transactions between validation and publish, so that data is not duplicated.
As a FABS user, I want to submit citywide PPoPZIP codes without errors, so that broad location entries pass validation.
As a Broker user, I want updated error codes with helpful information, so that resolutions are easier to find.
As an agency user, I want to allow ZIP without last 4 digits without errors, so that partial ZIPs are flexible.
As a FABS user, I want historical data to include all necessary columns, so that imports are complete.
As a data user, I want access to two additional fields from FPDS pulls, so that enriched data is available.
As a FABS user, I want additional helpful info in the submission dashboard, so that users get tips and status updates.
As a FABS user, I want to download uploaded FABS files, so that I can review or archive my submissions.
As a Developer, I want quick access to Broker data via queries, so that debugging is faster.
As a FABS user, I want language appropriate for FABS pages, so that content avoids contract-specific terms.
As a FABS user, I want no DABS banners in FABS sections, so that interfaces are clean and focused.
As a FABS user, I want read-only access to DABS, so that I can view but not alter contract data.
As a FABS user, I want validations to run in reasonable time, so that submissions are not delayed.
As a FABS user, I want correct status labels on the dashboard, so that submission progress is clear.
As an agency user, I want to know submission period start and end dates, so that deadlines are visible.
As an agency user, I want a landing page to navigate between FABS and DABS, so that access is streamlined.
As an agency user, I want to submit data with quotation marks to preserve zeroes, so that numeric leading zeros are retained.
As a data user, I want to receive updates to FABS records, so that changes are tracked with timestamps.
As a UI designer, I want to track issues from Tech Thursday sessions, so that UI improvements are prioritized.
As a UI designer, I want to redesign the Resources page to match Broker styles, so that consistency is maintained across the application.
As a UI designer, I want to report user testing results to agencies, so that feedback informs iterations.
As a UI designer, I want to move to round 2 of DABS/FABS landing page edits, so that leadership can approve updates.
As a UI designer, I want to move to round 2 of Homepage edits, so that core navigation is refined.
As a UI designer, I want to move to round 3 of Help page edits, so that user guidance is comprehensive.
As a UI designer, I want to move to round 2 of Help page edits, so that documentation evolves based on feedback.
As a DevOps engineer, I want New Relic to provide useful data across apps, so that monitoring is effective for performance.
As a Broker user, I want to help create content mockups, so that submission processes are user-friendly.
As an Owner, I want to create user testing summaries from UI SME input, so that testing outcomes are documented.
As a UI designer, I want to begin user testing, so that UI requests are validated with real users.
As a UI designer, I want to schedule user testing sessions, so that timelines align with development.
As an Owner, I want to design schedules from UI SME timelines, so that improvements are planned efficiently.
As an Owner, I want to design audits from UI SME scopes, so that UI changes are reviewed thoroughly.
As a user, I want to access raw agency published files from FABS via USAspending, so that original data is retrievable.
As a website user, I want to see updated financial assistance data daily, so that the site reflects current information.
As a Developer, I want to ensure no new published data from non-existent operations, so that invalid actions are blocked.
As an Agency user, I want header info to show date and time, so that update precision is visible.
As an Agency user, I want to better understand file-level errors, so that corrections are guided.
As an Agency user, I want historical FPDS loaded, so that full contract history supports FABS.
As an agency user, I want to get File F in correct format, so that file generation complies with specs.
As a tester, I want robust tests for FABS derivations, so that field computations are reliable.
As an owner, I want zero-padding justified only for specific fields, so that formatting is standardized without over-application.
As a user, I want info on rows before publishing, so that I can confirm the volume of data.
As a Developer, I want to handle time gaps in validation to publish, so that duplicates are prevented during delays.
As a Broker user, I want accurate error codes with details, so that issues are easier to resolve.
As a FABS user, I want to download uploaded files, so that originals can be retrieved for reference.
As a Developer, I want the best way to load historical FPDS, so that data ingestion is optimized.
As a FABS user, I want appropriate language on pages, so that financial assistance terms are used correctly.
As a FABS user, I want no cross-app banners, so that FABS views remain focused without distractions.
As a FABS user, I want read-only access to DABS, so that contract info is viewable without modification risks.
As a FABS user, I want reasonable validation times, so that large files process without timeouts.
As a FABS user, I want correct labels on dashboard, so that statuses are easy to interpret.
As an agency user, I want submission periods displayed, so that planning aligns with deadlines.
As an agency user, I want landing page navigation for FABS/DABS, so that switching between systems is simple.
As an agency user, I want data submitted with quotes, so that zero preservation avoids data loss.
