model_key,model_name,prompt_variant,report_number,similarity_score,generated_clusters_count
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought-clusters,7,0.7760124206542969,7
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought-clusters,8,0.7528927326202393,6
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought-clusters,9,0.7580482363700867,4
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought-clusters,10,0.7494905591011047,6
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought-clusters,11,0.774070680141449,7
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought-clusters,12,0.782096266746521,5
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought-clusters,13,0.774427056312561,5
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought-clusters,14,0.7736197710037231,7
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought-clusters,15,0.7923173904418945,4
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought-clusters,16,0.7674720287322998,3
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought-clusters,17,0.7622550129890442,5
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought-clusters,18,0.7986147403717041,4
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought-clusters,19,0.8158714771270752,5
deepseek,deepseek/deepseek-chat-v3-0324,chain-of-thought-clusters,20,0.7590032815933228,4
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot,1,0.7960744500160217,4
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot,2,0.7963703274726868,3
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot,3,0.7406109571456909,3
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot,4,0.7687270641326904,7
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot,5,0.7954598069190979,3
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot,6,0.8197377920150757,5
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot,7,0.7861537933349609,3
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot,8,0.8063646554946899,3
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot,9,0.7787480354309082,3
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot,10,0.7187825441360474,4
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot,11,0.7824420928955078,5
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot,12,0.7647751569747925,4
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot,13,0.8102825284004211,3
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot,14,0.748765766620636,4
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot,15,0.7717225551605225,5
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot,16,0.8178337216377258,3
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot,17,0.7969238758087158,3
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot,18,0.7466651797294617,6
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot,19,0.7568055391311646,6
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot,20,0.7104144096374512,4
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot-clusters,1,0.8023437261581421,3
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot-clusters,2,0.7544221878051758,4
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot-clusters,3,0.7645941376686096,5
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot-clusters,4,0.7630669474601746,3
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot-clusters,5,0.7776209115982056,3
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot-clusters,6,0.7743575572967529,4
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot-clusters,7,0.7723129987716675,5
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot-clusters,8,0.7386794090270996,3
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot-clusters,9,0.7436261177062988,5
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot-clusters,10,0.7329243421554565,5
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot-clusters,11,0.7796637415885925,5
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot-clusters,12,0.7818394303321838,4
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot-clusters,13,0.7409489154815674,6
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot-clusters,14,0.7666287422180176,4
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot-clusters,15,0.7314662933349609,6
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot-clusters,16,0.7531864047050476,6
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot-clusters,17,0.7513965964317322,5
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot-clusters,18,0.7752004861831665,5
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot-clusters,19,0.760414183139801,4
deepseek,deepseek/deepseek-chat-v3-0324,zero-shot-clusters,20,0.7304966449737549,3
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought,1,0.8082716464996338,3
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought,2,0.7812128067016602,5
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought,3,0.7681312561035156,4
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought,4,0.8014591336250305,4
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought,5,0.7809498310089111,3
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought,6,0.8299635648727417,3
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought,7,0.8099684715270996,4
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought,8,0.6892765760421753,5
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought,9,0.750353217124939,5
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought,10,0.8053927421569824,4
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought,11,0.8084229826927185,3
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought,12,0.7891655564308167,7
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought,13,0.7761272192001343,5
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought,14,0.7840911149978638,4
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought,15,0.7833592891693115,4
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought,16,0.7541214227676392,5
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought,17,0.7753186225891113,5
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought,18,0.756643533706665,7
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought,19,0.7854188680648804,3
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought,20,0.7504897117614746,6
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought-clusters,1,0.7803957462310791,4
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought-clusters,2,0.7893387079238892,4
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought-clusters,3,0.7642452120780945,3
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought-clusters,4,0.7695760726928711,7
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought-clusters,5,0.7623530030250549,3
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought-clusters,6,0.7958807349205017,3
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought-clusters,7,0.7666655778884888,6
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought-clusters,8,0.7646307945251465,5
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought-clusters,9,0.7865662574768066,4
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought-clusters,10,0.7713705897331238,4
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought-clusters,11,0.8009569644927979,3
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought-clusters,12,0.7887115478515625,6
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought-clusters,13,0.8090829849243164,5
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought-clusters,14,0.7774187326431274,4
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought-clusters,15,0.7882978916168213,4
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought-clusters,16,0.7811779975891113,4
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought-clusters,17,0.8017685413360596,3
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought-clusters,18,0.7804831862449646,5
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought-clusters,19,0.7675714492797852,6
gpt-4o-mini,openai/gpt-4o-mini,chain-of-thought-clusters,20,0.765915036201477,5
gpt-4o-mini,openai/gpt-4o-mini,zero-shot,1,0.7758405208587646,5
gpt-4o-mini,openai/gpt-4o-mini,zero-shot,2,0.8077393174171448,4
gpt-4o-mini,openai/gpt-4o-mini,zero-shot,3,0.7752163410186768,7
gpt-4o-mini,openai/gpt-4o-mini,zero-shot,4,0.7810013294219971,5
gpt-4o-mini,openai/gpt-4o-mini,zero-shot,5,0.7895230054855347,4
gpt-4o-mini,openai/gpt-4o-mini,zero-shot,6,0.7901104688644409,3
gpt-4o-mini,openai/gpt-4o-mini,zero-shot,7,0.7757768630981445,4
gpt-4o-mini,openai/gpt-4o-mini,zero-shot,8,0.7965160012245178,3
gpt-4o-mini,openai/gpt-4o-mini,zero-shot,9,0.8068101406097412,5
gpt-4o-mini,openai/gpt-4o-mini,zero-shot,10,0.8257910013198853,10
gpt-4o-mini,openai/gpt-4o-mini,zero-shot,11,0.7812790870666504,5
gpt-4o-mini,openai/gpt-4o-mini,zero-shot,12,0.7710562944412231,6
gpt-4o-mini,openai/gpt-4o-mini,zero-shot,13,0.77326899766922,6
gpt-4o-mini,openai/gpt-4o-mini,zero-shot,14,0.7537045478820801,6
gpt-4o-mini,openai/gpt-4o-mini,zero-shot,15,0.7682064175605774,5
gpt-4o-mini,openai/gpt-4o-mini,zero-shot,16,0.7569068670272827,5
gpt-4o-mini,openai/gpt-4o-mini,zero-shot,17,0.7473648190498352,5
gpt-4o-mini,openai/gpt-4o-mini,zero-shot,18,0.7592299580574036,5
gpt-4o-mini,openai/gpt-4o-mini,zero-shot,19,0.7340308427810669,5
gpt-4o-mini,openai/gpt-4o-mini,zero-shot,20,0.7510426640510559,5
gpt-4o-mini,openai/gpt-4o-mini,zero-shot-clusters,1,0.7739565372467041,4
gpt-4o-mini,openai/gpt-4o-mini,zero-shot-clusters,2,0.7863371968269348,6
gpt-4o-mini,openai/gpt-4o-mini,zero-shot-clusters,3,0.7759703397750854,6
gpt-4o-mini,openai/gpt-4o-mini,zero-shot-clusters,4,0.7649927735328674,4
gpt-4o-mini,openai/gpt-4o-mini,zero-shot-clusters,5,0.7778745889663696,4
gpt-4o-mini,openai/gpt-4o-mini,zero-shot-clusters,6,0.7756425738334656,3
gpt-4o-mini,openai/gpt-4o-mini,zero-shot-clusters,7,0.7559837698936462,4
gpt-4o-mini,openai/gpt-4o-mini,zero-shot-clusters,8,0.721916913986206,5
gpt-4o-mini,openai/gpt-4o-mini,zero-shot-clusters,9,0.7701336145401001,3
gpt-4o-mini,openai/gpt-4o-mini,zero-shot-clusters,10,0.7406590580940247,5
gpt-4o-mini,openai/gpt-4o-mini,zero-shot-clusters,11,0.7623522281646729,3
gpt-4o-mini,openai/gpt-4o-mini,zero-shot-clusters,12,0.7708061933517456,5
gpt-4o-mini,openai/gpt-4o-mini,zero-shot-clusters,13,0.7942414283752441,5
gpt-4o-mini,openai/gpt-4o-mini,zero-shot-clusters,14,0.7775141000747681,7
gpt-4o-mini,openai/gpt-4o-mini,zero-shot-clusters,15,0.7611871957778931,6
gpt-4o-mini,openai/gpt-4o-mini,zero-shot-clusters,16,0.7557340264320374,4
gpt-4o-mini,openai/gpt-4o-mini,zero-shot-clusters,17,0.7735531330108643,5
gpt-4o-mini,openai/gpt-4o-mini,zero-shot-clusters,18,0.784382164478302,4
gpt-4o-mini,openai/gpt-4o-mini,zero-shot-clusters,19,0.7614494562149048,5
gpt-4o-mini,openai/gpt-4o-mini,zero-shot-clusters,20,0.8051796555519104,5
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought,1,0.7592613697052002,6
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought,2,0.7595049142837524,5
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought,3,0.7541475296020508,5
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought,4,0.7616835832595825,5
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought,5,0.7608652710914612,4
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought,6,0.790302574634552,4
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought,7,0.7642813920974731,6
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought,8,0.849650502204895,6
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought,9,0.7519875764846802,7
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought,10,0.8100963234901428,4
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought,11,0.7490487694740295,5
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought,12,0.7568132877349854,5
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought,13,0.7859339714050293,4
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought,14,0.7953475713729858,3
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought,15,0.7100194692611694,5
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought,16,0.7992734313011169,5
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought,17,0.7522481679916382,5
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought,18,0.7776496410369873,4
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought,19,0.8180595636367798,12
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought,20,0.7649917006492615,4
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought-clusters,1,0.7710472345352173,4
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought-clusters,2,0.784428596496582,5
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought-clusters,3,0.758785605430603,7
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought-clusters,4,0.7631522417068481,6
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought-clusters,5,0.7685050964355469,6
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought-clusters,6,0.8001959323883057,6
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought-clusters,7,0.76694655418396,5
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought-clusters,8,0.8121712803840637,4
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought-clusters,9,0.8071626424789429,6
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought-clusters,10,0.7477726936340332,5
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought-clusters,11,0.7817837595939636,2
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought-clusters,12,0.8145564794540405,4
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought-clusters,13,0.7614912986755371,6
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought-clusters,14,0.7890263795852661,6
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought-clusters,15,0.7863885760307312,5
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought-clusters,16,0.7909567356109619,6
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought-clusters,17,0.813140869140625,5
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought-clusters,18,0.7722479104995728,4
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought-clusters,19,0.7411500215530396,6
llama,meta-llama/llama-3.3-70b-instruct,chain-of-thought-clusters,20,0.8406871557235718,3
llama,meta-llama/llama-3.3-70b-instruct,zero-shot,1,0.7844871282577515,4
llama,meta-llama/llama-3.3-70b-instruct,zero-shot,2,0.8021174669265747,8
llama,meta-llama/llama-3.3-70b-instruct,zero-shot,3,0.7949891090393066,7
llama,meta-llama/llama-3.3-70b-instruct,zero-shot,4,0.8298312425613403,3
llama,meta-llama/llama-3.3-70b-instruct,zero-shot,5,0.7878515124320984,2
llama,meta-llama/llama-3.3-70b-instruct,zero-shot,6,0.8014525175094604,6
llama,meta-llama/llama-3.3-70b-instruct,zero-shot,7,0.8231445550918579,4
llama,meta-llama/llama-3.3-70b-instruct,zero-shot,8,0.8262426853179932,6
llama,meta-llama/llama-3.3-70b-instruct,zero-shot,9,0.8119502663612366,8
llama,meta-llama/llama-3.3-70b-instruct,zero-shot,10,0.7589510679244995,5
llama,meta-llama/llama-3.3-70b-instruct,zero-shot,11,0.8116675019264221,5
llama,meta-llama/llama-3.3-70b-instruct,zero-shot,12,0.7989455461502075,5
llama,meta-llama/llama-3.3-70b-instruct,zero-shot,13,0.8032116889953613,5
llama,meta-llama/llama-3.3-70b-instruct,zero-shot,14,0.817185640335083,3
llama,meta-llama/llama-3.3-70b-instruct,zero-shot,15,0.8019711375236511,6
llama,meta-llama/llama-3.3-70b-instruct,zero-shot,16,0.8088468909263611,5
llama,meta-llama/llama-3.3-70b-instruct,zero-shot,17,0.8156769275665283,9
llama,meta-llama/llama-3.3-70b-instruct,zero-shot,18,0.8145251274108887,5
llama,meta-llama/llama-3.3-70b-instruct,zero-shot,19,0.7523443698883057,5
llama,meta-llama/llama-3.3-70b-instruct,zero-shot,20,0.7838146090507507,7
llama,meta-llama/llama-3.3-70b-instruct,zero-shot-clusters,1,0.7960339188575745,4
llama,meta-llama/llama-3.3-70b-instruct,zero-shot-clusters,2,0.7846763730049133,3
llama,meta-llama/llama-3.3-70b-instruct,zero-shot-clusters,3,0.8003401160240173,4
llama,meta-llama/llama-3.3-70b-instruct,zero-shot-clusters,4,0.7710950374603271,5
llama,meta-llama/llama-3.3-70b-instruct,zero-shot-clusters,5,0.7545279860496521,7
llama,meta-llama/llama-3.3-70b-instruct,zero-shot-clusters,6,0.8334941267967224,3
llama,meta-llama/llama-3.3-70b-instruct,zero-shot-clusters,7,0.7715638875961304,5
llama,meta-llama/llama-3.3-70b-instruct,zero-shot-clusters,8,0.7654095888137817,6
llama,meta-llama/llama-3.3-70b-instruct,zero-shot-clusters,9,0.8082180023193359,4
llama,meta-llama/llama-3.3-70b-instruct,zero-shot-clusters,10,0.8122992515563965,3
llama,meta-llama/llama-3.3-70b-instruct,zero-shot-clusters,11,0.7514599561691284,4
llama,meta-llama/llama-3.3-70b-instruct,zero-shot-clusters,12,0.7558783888816833,5
llama,meta-llama/llama-3.3-70b-instruct,zero-shot-clusters,13,0.7897381782531738,6
llama,meta-llama/llama-3.3-70b-instruct,zero-shot-clusters,14,0.7663249969482422,6
llama,meta-llama/llama-3.3-70b-instruct,zero-shot-clusters,15,0.7467055320739746,5
llama,meta-llama/llama-3.3-70b-instruct,zero-shot-clusters,16,0.7864210605621338,5
llama,meta-llama/llama-3.3-70b-instruct,zero-shot-clusters,17,0.7547684907913208,3
llama,meta-llama/llama-3.3-70b-instruct,zero-shot-clusters,18,0.8144850730895996,8
llama,meta-llama/llama-3.3-70b-instruct,zero-shot-clusters,19,0.7711777687072754,3
llama,meta-llama/llama-3.3-70b-instruct,zero-shot-clusters,20,0.815972089767456,4
