As a Data user, I want to have the 12-19-2017 deletions processed, so that historical data is accurately maintained.
As an Agency user, I want all historical Financial Assistance data loaded for FABS go-live, so that backfill supports launch.
As a Developer, I want the historical FPDS data loader to include both extracted historical data and FPDS feed data, so that comprehensive history is available.
As an Agency user, I want historical FPDS data loaded, so that long-term procurement data is accessible.
As an Agency user, I want to accurately see who created a submission, so that accountability is tracked.
As an agency user, I want to get File F in the correct format, so that exports meet requirements.
As an Agency user, I want to better understand my file-level errors, so that corrections are informed.
As a Developer, I want to provide FABS groups that function under the FREC paradigm, so that organizational structures are supported.
As a tester, I want to ensure that FABS is deriving fields properly through a robust test file plus a follow up check, so that derivations are verified.
As an owner, I only want zero-padded fields, so that data formatting is standardized.
As a Broker user, I want to submit records for individual recipients without receiving a DUNS error, so that non-business awards are allowed.
As a user, I want more information about how many rows will be published prior to deciding whether to publish, so that informed decisions are possible.
As a Developer, I want to prevent duplicate transactions from being published, so that data duplication is avoided.
As a FABS user, I want to submit a citywide as a PPoPZIP and pass validations, so that aggregate locations are supported.
As a Broker user, I want to have updated error codes that accurately reflect the logic, so that errors are descriptive.
As an agency user, I want to leave off the last 4 digits of the ZIP without an error, so that partial zip codes are flexible.
As a FABS user, I want to make sure the historical data includes all necessary columns, so that imports are complete.
As a data user, I want to access two additional fields from the FPDS data pull, so that enriched data is available.
As a FABS user, I want additional helpful info in the submission dashboard, so that status monitoring is improved.
As a FABS user, I want to download the uploaded FABS file, so that originals can be retrieved.
As a Developer, I want to quickly access Broker application data, so that development is efficient.
As a Developer, I want to determine the best way to load historical FPDS data since 2007, so that historical loads are optimized.
As a FABS user, I want the language on FABS pages to be appropriate, so that user experience is tailored.
As a FABS user, I do not want DABS banner messages and vice versa, so that interfaces are app-specific.
As a FABS user, I want to have read-only access to DABS, so that cross-app viewing is limited.
As a FABS user, I want to have my validations run in a reasonable amount of time, so that submission processing is performant.
As a FABS user, I want to see correct status labels on the Submission Dashboard, so that progress is clear.
As an agency user, I want to know when the submission periods start and end, so that deadlines are visible.
As an agency user, I want a landing page to navigate to either FABS or DABS pages, so that entry points are streamlined.
As an agency user, I want to submit my data elements surrounded by quotation marks, so that quoted CSV files are handled.
As a Broker user, I want to Upload and Validate the error message to have accurate text, so that validation feedback is precise.
As a Broker user, I want the D1 file generation to be synced with the FPDS data load, so that data freshness is ensured.
As a Website user, I want to access published FABS files, so that public downloads are available.
As an owner, I want to be sure that USAspending only send grant records to my system, so that irrelevant data is filtered.
As a Developer, I want the Broker resources, validations, and P&P pages are updated appropriately for the launch, so that launch readiness is achieved.
As a UI designer, I want to redesign the Resources page, so that user navigation is enhanced.
As a UI designer, I want to report to the Agencies about user testing, so that feedback is shared effectively.
As a UI designer, I want to move on to round 2 of design improvements, so that iterations progress smoothly.
As a Broker user, I want to help create content mockups, so that prototypes are developed collaboratively.
As a UI designer, I want to track the issues that come up in Tech Thursday, so that fixes are prioritized.
As an Owner, I want to create a user testing summary from the UI SME, so that insights are documented.
As a UI designer, I want to begin user testing, so that real-user feedback is gathered.
As a UI designer, I want to schedule user testing, so that sessions are organized.
As an Owner, I want to design a schedule from the UI SME, so that timelines are planned.
As an Owner, I want to design an audit from the UI SME, so that reviews are structured.
As an Owner, I want to reset the environment to only take Staging MAX permissions, so that security is controlled.
As an agency user, I want the FABS validation rules to accept zero and blank for loan records, so that loan-specific flexibility is provided.
As an agency user, I want the FABS validation rules to accept zero and blank for non-loan records, so that non-loan validations are lenient where appropriate.
