As a Data user, I want to process deletions from 12-19-2017, so that invalid records are filtered out efficiently.
As an owner, I want only zero-padded fields for required data, so that formatting standards are enforced.
As a Broker user, I want to submit individual recipients without DUNS errors, so that personal records are handled appropriately.
As a user, I want more info on rows to publish before deciding, so that informed choices can be made.
As a Developer, I want to prevent duplicate transactions between validation and publish, so that data integrity is protected.
As a FABS user, I want to submit citywide as PPoPZIP and pass validations, so that broad location data is accepted.
As a Broker user, I want updated error codes with accurate logic and info, so that errors are clearer and actionable.
As an agency user, I want to leave off last 4 ZIP digits without error, so that 5-digit ZIPs are flexibly validated.
As a FABS user, I want historical data to include all necessary columns, so that completeness is ensured.
As a data user, I want to access two additional fields from FPDS pull, so that more detailed procurement data is available.
As a FABS user, I want additional helpful info in the submission dashboard, so that monitoring is easier.
As a FABS user, I want to download uploaded FABS files, so that files can be retrieved for review.
As a Developer, I want to quickly access Broker app data, so that queries are efficient and fast.
As a Developer, I want to load historical FPDS in the best way since 2007, so that data integration is optimized.
As a FABS user, I want appropriate language on FABS pages, so that confusion with DABS is avoided.
As a FABS user, I want no cross-banner messages between FABS and DABS, so that app-specific messaging is clear.
As a FABS user, I want read-only access to DABS, so that viewing is possible without editing risks.
As a FABS user, I want validations to run in reasonable time, so that submissions are not delayed.
As a FABS user, I want correct status labels on the dashboard, so that submission progress is accurately shown.
As an agency user, I want to know when submission periods start and end, so that deadlines are clear.
As an agency user, I want the landing page to navigate to FABS or DABS, so that access is straightforward.
As an agency user, I want to submit data elements in quotes to preserve zeroes, so that Excel exports maintain formatting.
