As a Data user, I want to process deletions from 12-19-2017, so that outdated records are removed accurately.
As a user, I want to generate and validate D Files, so that cross-system data files are ready for use.
As an Agency user, I want to show updated date AND time in header, so that submission timestamps are precise.
As an Agency user, I want more helpful error for wrong extension, so that file upload issues are easy to resolve.
As a tester, I want to access test features in non-Staging envs, so that testing can occur across environments.
As a FABS user, I want accurate FABS errors, so that submission problems are clearly reported.
As a FABS user, I want accurate frontend URLs, so that page navigation functions correctly.
As an Agency user, I want to load all historical Financial Assistance data, so that complete history is available for FABS launch.
As a Developer, I want to load historical FPDS from extracted and feed, so that contract history is fully imported.
As an Agency user, I want to load historical FPDS, so that agency-specific contract data is historical.
As an Agency user, I want to see who created submission, so that submission ownership is trackable.
As an agency user, I want to get File F in correct format, so that financial files comply with DAIMS v1.1.
As an Agency user, I want to better understand file-level errors, so that file issues can be diagnosed quickly.
As a Developer, I want to provide FABS groups under FREC paradigm, so that financial reporting is grouped consistently.
As a tester, I want to ensure FABS derivations with test file, so that field derivations are verified.
As an owner, I want only zero-padded fields, so that data formatting standards are enforced.
As a Broker user, I want to submit without DUNS error for individuals, so that individual recipients can be processed.
As a user, I want to show how many rows will be published, so that the impact of publishing is visible.
As a Developer, I want to prevent duplicates with time gap handling, so that transaction uniqueness is maintained.
As a FABS user, I want to submit citywide ZIP, so that city-wide place of performance is supported.
As a Broker user, I want updated error codes, so that validation errors are logically updated.
As a FABS user, I want to ensure historical includes necessary columns, so that legacy data is complete.
As a data user, I want to access two additional FPDS fields, so that more contract details are available.
As a FABS user, I want additional info in dashboard, so that submissions can be managed better.
As a FABS user, I want to download uploaded FABS file, so that submitted files are retrievable.
As a Developer, I want quick access to data, so that database queries are efficient for development.
As a Developer, I want to load FPDS since 2007, so that long-term contract history is loaded.
As a FABS user, I want appropriate language, so that user instructions are clear and suitable.
As a FABS user, I want no DABS banners in FABS, so that interface elements are context-specific.
As a FABS user, I want read-only DABS access, so that related assistance data can be viewed without editing.
As a FABS user, I want validations in reasonable time, so that submission processing feels responsive.
As a FABS user, I want correct status on dashboard, so that submission statuses are displayed accurately.
As an agency user, I want to know submission start/end, so that filing deadlines are clear.
As an agency user, I want landing page for FABS/DABS, so that navigation between systems is intuitive.
As an agency user, I want to submit data with quotes for Excel zeroes, so that exported Excel data is parsed correctly.
As a data user, I want to receive FABS updates, so that financial assistance data stays current.
As a Developer, I want to update FABS sample without header requirement, so that sample flexibility is increased.
As an agency user, I want to exclude deleted FSRS, so that only active sub-recipient data is submitted.
As a website user, I want to see updated data daily, so that financial assistance information is always fresh.
As a user, I want to deactivate publish during derivations, so that publishing occurs only after processing.
As a user, I want to access raw FABS files via USAspending, so that original agency submissions are available.
As an Owner, I want to reset to Staging MAX, so that staging environment permissions are standardized.
As a user, I want flexfields in errors for missing required, so that flexfield issues are highlighted in reports.
As an agency user, I want to accept zero/blank for loans, so that loan obligation fields are flexible.
As an agency user, I want to accept zero/blank for non-loans, so that non-loan obligation fields are flexible.
As a broker team member, I want to update resources for FABS/DAIMS v1.1, so that launch materials are prepared.
As a broker user, I want to derive fields in historical loader, so that legacy data is automatically enriched.
As a Broker user, I want to create content mockups, so that submission processes are user-friendly.
As a UI designer, I want to redesign Resources page to match Broker styles, so that visual consistency is achieved.
As a UI designer, I want to report to Agencies about user testing, so that UX improvements are communicated.
As a UI designer, I want to do round 2 edits for DABS/FABS landing, so that the landing page is refined.
As a UI designer, I want to do round 2 Homepage edits, so that the homepage user experience is enhanced.
As a UI designer, I want to do round 3 Help page edits, so that help resources are more comprehensive.
As a UI designer, I want to do round 2 Help page edits, so that help content is formatted better.
As a UI designer, I want to track Tech Thursday issues, so that UI bugs are resolved timely.
As an Owner, I want to create user testing summary, so that testing outcomes guide improvements.
As a UI designer, I want to begin user testing, so that stakeholder feedback is incorporated.
As a UI designer, I want to schedule user testing, so that testing sessions are organized.
As an Owner, I want to design schedule from UI SME, so that UI development timeline is planned.
As an Owner, I want to design audit from UI SME, so that UI scope is clearly defined.
As a Broker user, I want accurate error message text, so that validation feedback is precise.
As a FABS user, I want appropriate banners and access, so that FABS and DABS interfaces are separated correctly.
